nombre_industria,rubro_industrial,comuna,region,emision_maxima_permitida,fecha_fiscalizacion,observacion
Celulosa Maule Norte,celulosa,Talca,Maule,420.0,2026-06-15,Cumple limite invernal.
Agroexportadora Curicó Sur,agroindustria,Curicó,Maule,95.5,2026-06-16,Emisiones estables.
Planta Calderas Chillán,calefaccion_residencial,Chillán,Ñuble,120.5,2026-06-18,Requiere seguimiento en temporada fria.
Secadora San Carlos,agroindustria,San Carlos,Ñuble,88.0,2026-06-19,
Fundición Biobío Centro,fundicion,Concepción,Biobío,310.0,2026-09-20,Aumento leve de SO2 en turno noche.
Puerto Industrial Concepcion,termoelectrica,Concepción,Biobío,275.0,2026-09-21,Revision por mantencion programada.
Termoeléctrica Coronel Sur,termoelectrica,Coronel,Biobío,640.0,2026-09-22,Operacion dentro de parametros.
Complejo Energético Hualpén,termoelectrica,Hualpén,Biobío,515.0,2026-09-23,Se observaron humos transitorios.
Maderera Rancagua Oriente,agroindustria,Rancagua,O'Higgins,130.0,2026-12-06,Sin hallazgos relevantes.
Termoval O'Higgins,termoelectrica,San Fernando,O'Higgins,210.0,2026-06-13,Se recomienda calibrar sensores.
Celulosa Río Biobío,celulosa,Coronel,Biobío,540.0,2026-09-24,Compartio bitacora de scrubbers.
Fundición Ñuble Metal,fundicion,Chillán,Ñuble,198.0,2026-06-20,Control de particulas reforzado.
